[ROE Anomaly] ASIANPAINT Year Mar 2021: Computed 25.04% vs Reported 31.45% | Category: Source discrepancy
[ROE Anomaly] ASIANPAINT Year Mar 2022: Computed 22.34% vs Reported 31.45% | Category: Source discrepancy
[ROE Anomaly] ASIANPAINT Year Mar 2023: Computed 26.23% vs Reported 31.45% | Category: Source discrepancy
[ROE Anomaly] ATGL Year Mar 2020: Computed 29.64% vs Reported 20.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2013: Computed 38.85% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2014: Computed 33.24% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2018: Computed 20.66% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2019: Computed 21.21% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2021: Computed 17.81% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2022: Computed 20.65% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] BAJAJ-AUTO Year Mar 2023: Computed 20.64% vs Reported 26.5% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2017: Computed 6.53% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2018: Computed 0.43% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2019: Computed 6.90% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2020: Computed 1.88% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2021: Computed 6.36% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2022: Computed 11.01% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] AXISBANK Year Mar 2023: Computed 7.38% vs Reported 18.4% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2013: Computed 28.38% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2014: Computed 23.53% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2015: Computed 21.72% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2016: Computed 20.41% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2017: Computed 21.36% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2018: Computed 20.39% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2019: Computed 22.64% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2020: Computed 19.15% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2021: Computed 20.56% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2022: Computed 20.66% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2023: Computed 26.31% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJFINSV Year Mar 2024: Computed 25.85% vs Reported 11.72% | Category: Source discrepancy
[ROE Anomaly] BAJAJHLDNG Year Mar 2022: Computed 9.63% vs Reported 14.8% | Category: Source discrepancy
[ROE Anomaly] BAJFINANCE Year Mar 2018: Computed 15.75% vs Reported 22.1% | Category: Source discrepancy
[ROE Anomaly] BAJFINANCE Year Mar 2020: Computed 16.28% vs Reported 22.1% | Category: Source discrepancy
[ROE Anomaly] BAJFINANCE Year Mar 2021: Computed 11.97% vs Reported 22.1% | Category: Source discrepancy
[ROE Anomaly] BAJFINANCE Year Mar 2022: Computed 16.08% vs Reported 22.1% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2015: Computed 9.40% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2016: Computed -11.84% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2017: Computed 4.31% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2018: Computed -3.94% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2019: Computed 2.12% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2020: Computed 1.29% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2021: Computed 1.97% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BANKBARODA Year Mar 2022: Computed 8.64% vs Reported 16.7% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2013: Computed 4.50% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2014: Computed 5.05% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2017: Computed 6.29% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2018: Computed 3.14% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2019: Computed 2.36% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2020: Computed -39.75% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BHARTIARTL Year Mar 2021: Computed -20.97% vs Reported 14.9% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2013: Computed 15183.33% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2014: Computed 13600.00% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2015: Computed 17100.00% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2016: Computed 11141.67% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2017: Computed 10153.33% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2018: Computed 4616.13% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2019: Computed 3851.02% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2020: Computed 3318.18% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2021: Computed 3559.32% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2022: Computed 3478.26% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2023: Computed 3981.33% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BEL Year Mar 2024: Computed 4744.05% vs Reported 26.3% | Category: Source discrepancy
[ROE Anomaly] BHEL Year Mar 2013: Computed 21.91% vs Reported 1.05% | Category: Source discrepancy
[ROE Anomaly] BHEL Year Mar 2014: Computed 10.56% vs Reported 1.05% | Category: Source discrepancy
[ROE Anomaly] BHEL Year Mar 2020: Computed -5.12% vs Reported 1.05% | Category: Source discrepancy
[ROE Anomaly] BHEL Year Mar 2021: Computed -10.39% vs Reported 1.05% | Category: Source discrepancy
[ROE Anomaly] BOSCHLTD Year Mar 2020: Computed 7.01% vs Reported 16.0% | Category: Source discrepancy
[ROE Anomaly] BOSCHLTD Year Mar 2021: Computed 4.91% vs Reported 16.0% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2013: Computed 11.54% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2014: Computed 20.85% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2015: Computed 22.52% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2016: Computed 29.10% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2017: Computed 30.85% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2018: Computed 26.74% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2019: Computed 22.00% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2020: Computed 10.04% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2021: Computed 32.34% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2022: Computed 22.51% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2023: Computed 3.98% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BPCL Year Mar 2024: Computed 35.51% vs Reported 41.9% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2013: Computed 46.59% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2014: Computed 49.50% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2016: Computed 39.44% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2017: Computed 32.83% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2018: Computed 29.48% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2019: Computed 27.16% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2020: Computed 31.66% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] BRITANNIA Year Mar 2023: Computed 65.53% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2013: Computed 11.90% vs Reported 17.9% | Category: Source discrepancy
[ROE Anomaly] CANBK Year Mar 2014: Computed 8.85% vs Reported 17.9% | Category: Source discrepancy
